In-situ Marine Optics
DALEC (SN:0005)
FIRMWARE: DALEC_V5
---------CONFIGURATION---------
SD_CARD_LOGGING = ON
LOGFILE = LOG_0055.TXT
AVAILABLE_MEMORY = 0 (MB)
SIMULT = ON
AUTO_START = ON
STARTTIME = 00:00
ENDTIME = 24:00
AUTO_RELAZ = OFF
PARK_AFTER_STOP = OFF
TARGET_RELAZ = 135
DECLINATION = 0.00
USER_HEADING = OFF
USER_HEADING GPS_SPEED = 0.00
H = 0.00
BOOM OFFSET = 0.00
BOOM_REL_LIMIT_LEFT = -120
BOOM_REL_LIMIT_RIGHT = 120
POSITION_ACCURACY = 10
AUTO_INTTIME = ON
INTTIME_ED = 256
INTTIME_LU = 256
INTTIME_LSKY = 256
SPECTRUM_LB = 20000
SPECTRUM_UB = 40000
FIXED_LOCATION_MODE = OFF
FIXED_LOCATION_LON = 115.86
FIXED_LOCATION_LAT = -31.95
-------------------------------
Sample #,UTC Date,UTC Time,GPS_Fix,Lat,Lon,Solar Azi,Solar Elev,Relaz,Heading,Pitch,Roll,Gearpos,Voltage,Temp,Channel,Inttime,Spec[0],...,Spec[255]
0,16/06/2022,10:59:50.619,A,56.2310180,-3.24505496,151.8,55.0,0.0,0.0,0,0,-0.1,0.0,0.0000,Ed,256,1026,1015,1027,1037,1044,1049,1064,1076,1088,1104,1113,1136,1150,1210,1364,1758,2409,3352,4594,5813,6684,7219,7854,8298,8517,9198,10352,11486,13785,17797,21712,24506,27150,29918,32225,33899,34842,34700,34548,35604,37393,38834,39970,41113,41741,41791,41492,41360,41068,40732,40744,41310,42340,43307,43503,43526,44264,45577,46498,47040,47855,49355,50857,51742,52598,54276,56547,58750,60691,62213,62972,63142,63109,62976,62323,61064,59183,57094,54917,52535,50128,48084,46648,45686,44454,42595,41010,40369,40426,40846,41282,41402,41301,41120,41062,41012,40761,40218,39878,40022,40192,39633,38037,36118,34648,33895,33920,34650,35335,35617,35650,35479,35059,33965,31844,29651,28708,29093,29814,30711,31778,32754,32586,30373,27345,25353,24942,25833,28388,31833,35144,37947,39996,41049,40869,38019,31209,24365,23557,28482,33667,36345,37091,36672,35316,33420,31616,30145,28763,27475,26215,24369,21285,17861,15587,14765,14626,14655,14817,15276,15856,16187,16190,15793,15087,14466,14095,13724,13129,12548,12064,11591,11075,10567,10050,9491,8636,7380,6042,5241,4917,4622,4192,3905,3868,3967,3849,3274,2478,1808,1495,1422,1403,1377,1381,1408,1452,1511,1619,1786,1968,2037,2032,2060,2153,2253,2306,2317,2279,2217,2133,2052,1978,1921,1855,1802,1735,1687,1629,1591,1547,1494,1452,1422,1384,1352,1319,1292,1265,1241,1222,1206,1191,1167,1165,1151,1141,1130,1126,1110,1105,1094,1089,1090,1091,1099,1125,1154,1217,1273,1371,1459,1531,1586,1589,1617
0,16/06/2022,10:59:50.619,A,56.2310180,-3.24505496,151.8,55.0,0.0,0.0,0,0,-0.1,0.0,0.0000,Lu,256,1231,1206,1219,1216,1224,1218,1222,1225,1223,1218,1223,1228,1236,1257,1324,1481,1707,2035,2414,2741,2943,3060,3175,3240,3262,3425,3639,3944,4564,5461,6238,6816,7369,7913,8338,8627,8714,8630,8637,8856,9157,9372,9541,9661,9652,9558,9417,9284,9135,9006,8969,9022,9127,9168,9100,9078,9185,9302,9382,9429,9567,9767,9931,10025,10206,10493,10847,11182,11461,11634,11706,11683,11651,11566,11375,11114,10764,10394,10015,9622,9237,8908,8635,8373,7995,7587,7348,7213,7114,7073,7032,6977,6902,6845,6802,6733,6633,6512,6424,6368,6321,6203,6009,5807,5623,5471,5428,5403,5372,5316,5267,5206,5132,4954,4698,4473,4409,4407,4427,4429,4454,4459,4299,3989,3696,3552,3539,3650,3901,4184,4422,4615,4717,4727,4630,4232,3565,3083,3223,3688,4029,4155,4153,4080,3918,3730,3581,3450,3337,3229,3125,2961,2712,2459,2313,2274,2272,2248,2255,2276,2303,2311,2289,2234,2177,2125,2091,2064,2024,1980,1945,1929,1891,1853,1831,1779,1718,1628,1550,1497,1473,1453,1419,1395,1395,1407,1394,1356,1299,1263,1241,1238,1229,1239,1240,1244,1226,1250,1244,1252,1260,1271,1262,1270,1269,1274,1280,1283,1279,1271,1259,1263,1262,1267,1260,1251,1239,1239,1238,1230,1234,1228,1232,1228,1234,1223,1217,1215,1211,1209,1210,1206,1203,1213,1202,1204,1206,1212,1204,1190,1209,1202,1216,1212,1226,1228,1247,1234,1253,1265,1272,1279,1284,1289,1286,1290
0,16/06/2022,10:59:50.619,A,56.2310180,-3.24505496,151.8,55.0,0.0,0.0,0,0,-0.1,0.0,0.0000,Lsky,256,1537,1589,1664,1736,1808,1898,1991,2088,2178,2308,2436,2571,2813,3660,6305,11820,21082,34051,49500,62664,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,59674,50181,45895,44965,44557,44570,45450,47097,48342,48602,47644,45529,43286,41849,40736,38850,36761,35021,33418,31656,29904,28199,26475,24178,20674,16641,13889,12758,11894,10642,9678,9421,9606,9375,7972,5806,3841,2843,2538,2433,2346,2341,2390,2483,2650,2924,3356,3759,3907,3882,3959,4158,4371,4485,4476,4396,4223,4007,3803,3613,3447,3285,3115,2965,2805,2674,2549,2436,2305,2208,2115,2022,1938,1851,1771,1700,1634,1581,1535,1486,1452,1405,1367,1331,1301,1262,1233,1204,1180,1177,1175,1184,1212,1297,1420,1636,1964,2447,3005,3596,4097,4440,4633,4749,4895
1,16/06/2022,10:59:52.317,A,56.2310371,-3.24509334,151.8,55.0,-3.6,148.2,-1,2,-0.2,11.5,22.5625,Ed,121,941,922,936,934,943,947,952,962,960,971,978,980,1006,1026,1096,1288,1603,2065,2657,3250,3660,3925,4227,4448,4542,4876,5428,5983,7083,9023,10909,12245,13528,14868,15989,16778,17242,17174,17090,17610,18482,19178,19715,20278,20590,20615,20473,20404,20274,20104,20127,20404,20897,21360,21472,21479,21856,22479,22941,23195,23607,24342,25083,25522,25937,26767,27886,28973,29925,30685,31052,31164,31148,31090,30757,30148,29238,28200,27139,25974,24796,23782,23082,22612,22023,21106,20338,20024,20047,20246,20463,20535,20473,20406,20359,20359,20212,19958,19790,19875,19956,19679,18898,17959,17234,16872,16887,17234,17565,17717,17722,17647,17442,16896,15868,14795,14336,14522,14879,15312,15849,16299,16230,15142,13681,12704,12503,12947,14195,15877,17506,18869,19883,20400,20318,18927,15579,12235,11839,14245,16788,18102,18475,18266,17594,16659,15770,15057,14389,13746,13145,12245,10742,9070,7977,7571,7512,7523,7597,7828,8104,8273,8275,8079,7721,7425,7245,7062,6780,6503,6258,6035,5794,5537,5289,5025,4617,4004,3348,2964,2813,2672,2465,2320,2306,2349,2293,2017,1638,1311,1156,1125,1125,1104,1096,1115,1131,1164,1226,1312,1388,1417,1405,1437,1477,1526,1547,1557,1534,1507,1461,1421,1392,1372,1331,1309,1277,1258,1228,1199,1182,1157,1144,1135,1101,1087,1072,1070,1047,1040,1039,1022,1013,1001,1010,996,995,983,978,978,971,965,967,964,959,967,991,997,1025,1055,1110,1140,1189,1206,1211,1225
1,16/06/2022,10:59:52.317,A,56.2310371,-3.24509334,151.8,55.0,-3.6,148.2,-1,2,-0.2,11.5,22.3125,Lu,656,1342,1345,1345,1342,1345,1342,1356,1367,1365,1382,1393,1396,1421,1471,1667,2063,2709,3600,4676,5591,6134,6487,6810,6957,7048,7507,8127,8959,10696,13180,15353,16994,18574,20064,21270,22049,22305,22073,22104,22752,23559,24173,24659,24974,24979,24686,24302,23943,23502,23155,23034,23189,23469,23587,23403,23338,23624,23968,24168,24314,24696,25261,25682,25931,26410,27214,28164,29057,29821,30276,30440,30391,30274,30019,29514,28741,27785,26769,25720,24594,23534,22648,21903,21141,20093,19006,18344,17982,17763,17635,17529,17362,17182,17011,16876,16709,16426,16086,15837,15702,15553,15234,14716,14143,13621,13226,13085,13062,12976,12815,12655,12518,12290,11811,11060,10458,10272,10283,10311,10341,10416,10390,9965,9102,8287,7868,7839,8127,8801,9567,10193,10695,10963,10993,10697,9624,7778,6482,6861,8126,9062,9417,9400,9166,8748,8257,7829,7467,7151,6857,6557,6113,5423,4747,4354,4248,4203,4178,4197,4241,4322,4330,4258,4130,3954,3816,3741,3652,3536,3432,3339,3268,3165,3071,2986,2873,2720,2481,2248,2110,2050,1987,1903,1844,1842,1854,1818,1717,1560,1441,1395,1382,1380,1384,1369,1373,1378,1393,1413,1441,1469,1481,1473,1480,1493,1497,1503,1511,1502,1494,1481,1472,1452,1444,1425,1417,1400,1409,1395,1382,1383,1366,1365,1355,1356,1341,1333,1329,1322,1319,1307,1308,1319,1312,1310,1301,1298,1304,1296,1300,1303,1309,1324,1328,1351,1370,1401,1422,1459,1486,1497,1503,1520,1526,1532,1532
1,16/06/2022,10:59:52.317,A,56.2310371,-3.24509334,151.8,55.0,-3.6,148.2,-1,2,-0.2,11.5,22.5625,Lsky,128,1152,1193,1214,1260,1297,1342,1381,1432,1486,1546,1605,1675,1798,2225,3566,6391,11099,17717,25591,32344,35791,38107,40279,40598,40707,44187,47759,52846,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,64145,59246,57874,58641,59426,60335,61878,62998,61199,55262,49231,46709,46681,49316,55088,61566,65535,65535,65535,65535,65535,63934,48384,38508,43749,54367,60791,62768,62493,60743,57662,54253,51483,49114,46648,44501,42006,37616,31471,26456,24198,23716,23508,23513,23976,24842,25498,25626,25123,24006,22822,22082,21485,20504,19421,18489,17663,16755,15833,14941,14043,12835,11039,8937,7534,6941,6505,5847,5349,5221,5320,5198,4488,3347,2339,1821,1673,1627,1577,1574,1602,1646,1738,1865,2089,2295,2378,2368,2395,2510,2613,2658,2666,2618,2538,2426,2327,2229,2134,2049,1969,1893,1818,1732,1673,1617,1562,1493,1452,1395,1358,1312,1271,1227,1197,1176,1150,1123,1104,1086,1073,1048,1032,1016,1001,985,968,977,958,967,987,1022,1093,1205,1381,1611,1907,2212,2481,2648,2742,2803,2884
2,16/06/2022,10:59:55.747,A,56.2310066,-3.24539995,151.8,55.0,-4.8,147.0,-5,2,-0.3,11.5,22.5625,Ed,121,946,935,936,941,947,945,953,962,957,962,974,982,998,1021,1101,1288,1611,2057,2655,3253,3673,3932,4240,4447,4560,4899,5433,5990,7098,9048,10944,12283,13572,14911,16016,16844,17299,17225,17143,17659,18536,19236,19783,20348,20650,20680,20535,20470,20326,20172,20184,20455,20968,21433,21534,21558,21913,22557,23005,23278,23689,24415,25155,25573,26012,26852,27969,29055,30012,30772,31162,31234,31248,31173,30852,30241,29305,28278,27218,26048,24847,23851,23143,22670,22080,21165,20397,20064,20106,20313,20513,20594,20545,20443,20425,20409,20286,20015,19847,19916,19995,19738,18938,18004,17284,16916,16929,17272,17628,17749,17750,17684,17475,16951,15901,14826,14372,14540,14917,15346,15876,16349,16271,15184,13716,12739,12538,12970,14226,15915,17548,18933,19935,20467,20381,18985,15618,12263,11869,14298,16832,18158,18525,18319,17645,16709,15829,15100,14427,13781,13182,12267,10773,9094,7981,7586,7531,7533,7612,7847,8113,8281,8275,8100,7751,7454,7264,7087,6794,6523,6279,6054,5807,5555,5297,5043,4618,4014,3353,2971,2815,2673,2482,2323,2310,2347,2289,2031,1637,1313,1157,1128,1115,1105,1105,1110,1137,1179,1227,1308,1389,1423,1408,1436,1483,1536,1565,1558,1549,1505,1469,1429,1405,1365,1340,1307,1278,1253,1228,1193,1181,1157,1143,1123,1113,1097,1081,1063,1054,1039,1032,1025,1022,1002,1010,999,982,986,985,966,969,963,960,964,970,970,979,995,1025,1059,1101,1142,1186,1206,1215,1220
2,16/06/2022,10:59:55.747,A,56.2310066,-3.24539995,151.8,55.0,-4.8,147.0,-5,2,-0.3,11.5,22.3125,Lu,656,1332,1330,1332,1338,1342,1338,1358,1350,1367,1372,1387,1387,1416,1470,1660,2051,2708,3610,4668,5608,6157,6487,6818,6974,7063,7522,8149,8978,10722,13218,15406,17044,18621,20140,21343,22146,22390,22174,22196,22858,23672,24288,24787,25106,25110,24817,24439,24069,23634,23278,23170,23310,23599,23716,23535,23470,23754,24088,24301,24451,24828,25409,25837,26089,26559,27368,28303,29196,29970,30441,30602,30547,30425,30177,29651,28895,27929,26900,25844,24736,23674,22770,22035,21270,20219,19126,18453,18100,17861,17738,17643,17465,17276,17120,16973,16797,16529,16177,15925,15805,15656,15330,14813,14232,13713,13314,13159,13141,13058,12904,12751,12601,12387,11892,11145,10532,10344,10373,10375,10407,10481,10446,10021,9143,8311,7901,7850,8149,8805,9550,10172,10654,10916,10936,10629,9568,7740,6451,6812,8075,9010,9352,9339,9091,8680,8201,7775,7418,7099,6819,6537,6083,5397,4721,4335,4224,4180,4180,4173,4234,4301,4297,4235,4096,3926,3805,3723,3630,3508,3405,3327,3232,3160,3058,2976,2869,2707,2469,2240,2108,2046,1973,1896,1849,1839,1837,1812,1716,1566,1443,1396,1382,1383,1373,1369,1366,1382,1393,1408,1444,1469,1476,1470,1497,1483,1495,1509,1501,1489,1491,1465,1456,1449,1436,1426,1426,1413,1394,1384,1375,1372,1367,1365,1353,1346,1346,1342,1333,1331,1316,1315,1316,1312,1316,1303,1302,1296,1295,1303,1298,1303,1323,1314,1320,1348,1370,1395,1423,1448,1482,1498,1507,1515,1526,1530,1542
2,16/06/2022,10:59:55.747,A,56.2310066,-3.24539995,151.8,55.0,-4.8,147.0,-5,2,-0.3,11.5,22.5625,Lsky,64,941,956,963,982,1006,1017,1042,1065,1092,1107,1144,1176,1235,1433,2055,3368,5559,8631,12281,15412,17016,18066,19075,19229,19259,20861,22500,24857,30838,38747,44830,49373,54338,59040,62870,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,63023,60873,59291,57117,53600,50325,48818,48612,48775,48844,48458,47661,46883,46336,45829,44925,43644,42686,42322,41978,41098,39466,37566,36003,34923,34584,35004,35202,34956,34571,34165,33616,32339,29883,27594,26967,27366,27784,28288,29085,29698,28910,26136,23318,22188,22247,23593,26488,29759,32507,34751,36150,36550,35699,31389,23716,18876,21448,26710,29924,30922,30794,29931,28393,26713,25333,24166,22961,21904,20674,18521,15490,13048,11959,11734,11639,11649,11887,12321,12656,12738,12501,11971,11403,11036,10747,10283,9760,9316,8912,8465,8026,7592,7154,6565,5693,4665,3972,3706,3481,3161,2922,2858,2910,2861,2520,1978,1497,1255,1185,1144,1131,1123,1129,1165,1202,1264,1372,1479,1519,1518,1526,1578,1629,1654,1654,1631,1596,1553,1502,1452,1408,1367,1326,1289,1260,1223,1191,1165,1136,1114,1085,1057,1034,1018,1000,969,970,949,940,924,920,910,906,888,885,867,858,855,860,858,852,856,853,872,912,957,1039,1143,1278,1418,1537,1610,1648,1681,1712
3,16/06/2022,10:59:57.533,A,56.2310104,-3.24540829,151.8,55.0,-4.3,147.5,-2,1,-0.3,11.5,22.5625,Ed,121,933,926,928,939,941,956,960,961,963,980,977,984,992,1021,1099,1287,1597,2064,2646,3235,3644,3902,4215,4417,4535,4870,5410,5952,7054,8982,10870,12201,13473,14807,15924,16721,17168,17106,17023,17549,18411,19095,19642,20202,20512,20540,20395,20334,20192,20028,20046,20323,20824,21295,21391,21400,21771,22406,22848,23116,23521,24244,24975,25420,25842,26662,27783,28859,29811,30579,30948,31035,31032,30973,30655,30038,29134,28095,27045,25866,24699,23697,22985,22524,21937,21025,20254,19944,19969,20176,20390,20458,20408,20314,20296,20279,20143,19886,19723,19789,19879,19593,18824,17886,17168,16798,16820,17162,17501,17629,17645,17568,17366,16844,15815,14739,14268,14466,14821,15260,15782,16264,16187,15111,13646,12680,12484,12914,14170,15859,17475,18852,19861,20387,20305,18920,15569,12226,11847,14253,16779,18086,18461,18255,17586,16666,15765,15048,14375,13742,13142,12231,10739,9062,7965,7562,7518,7516,7591,7821,8089,8275,8261,8077,7720,7432,7248,7071,6780,6498,6262,6041,5774,5534,5286,5012,4604,3994,3349,2963,2809,2664,2456,2311,2297,2345,2284,2020,1627,1300,1157,1119,1114,1105,1097,1107,1134,1166,1219,1301,1374,1416,1421,1420,1467,1523,1546,1551,1536,1511,1462,1429,1391,1354,1323,1298,1276,1241,1218,1208,1176,1149,1136,1124,1104,1084,1079,1064,1050,1032,1030,1016,1010,1002,996,992,980,981,975,967,966,964,953,961,961,962,974,983,1017,1048,1080,1138,1172,1196,1198,1213
