In-situ Marine Optics
DALEC (SN:0005)
FIRMWARE: DALEC_V5
---------CONFIGURATION---------
SD_CARD_LOGGING = ON
LOGFILE = LOG_0056.TXT
AVAILABLE_MEMORY = 0 (MB)
SIMULT = ON
AUTO_START = ON
STARTTIME = 00:00
ENDTIME = 24:00
AUTO_RELAZ = OFF
PARK_AFTER_STOP = OFF
TARGET_RELAZ = 135
DECLINATION = 0.00
USER_HEADING = OFF
USER_HEADING GPS_SPEED = 0.00
H = 0.00
BOOM OFFSET = 0.00
BOOM_REL_LIMIT_LEFT = -120
BOOM_REL_LIMIT_RIGHT = 120
POSITION_ACCURACY = 10
AUTO_INTTIME = ON
INTTIME_ED = 256
INTTIME_LU = 256
INTTIME_LSKY = 256
SPECTRUM_LB = 20000
SPECTRUM_UB = 40000
FIXED_LOCATION_MODE = OFF
FIXED_LOCATION_LON = 115.86
FIXED_LOCATION_LAT = -31.95
-------------------------------
Sample #,UTC Date,UTC Time,GPS_Fix,Lat,Lon,Solar Azi,Solar Elev,Relaz,Heading,Pitch,Roll,Gearpos,Voltage,Temp,Channel,Inttime,Spec[0],...,Spec[255]
0,16/06/2022,13:00:02.611,V,NaN,NaN,NaN,NaN,NaN,0.0,0,0,-0.1,0.0,0.0000,Ed,256,1193,1181,1195,1228,1251,1272,1289,1320,1338,1377,1404,1439,1491,1622,2021,2949,4511,6761,9652,12512,14504,15729,17222,18295,18794,20355,23008,25673,31026,40414,49554,56007,62142,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,59300,55022,53742,54766,58713,64016,65535,65535,65535,65535,65535,65535,58956,47884,46689,54445,62222,65535,65535,65535,63809,60730,57724,55177,52802,50505,48207,44969,39761,33901,29865,28261,27852,27689,27749,28291,28978,29286,29015,28129,26756,25557,24810,24071,22982,21894,21012,20197,19305,18419,17545,16606,15205,13146,10892,9525,8968,8436,7648,7119,7018,7148,6915,5859,4308,2940,2304,2184,2162,2098,2093,2141,2222,2354,2580,2938,3254,3374,3344,3391,3554,3698,3778,3757,3678,3545,3380,3209,3078,2944,2821,2701,2576,2464,2362,2272,2188,2093,2020,1954,1864,1811,1749,1683,1644,1596,1558,1523,1490,1468,1451,1426,1412,1381,1360,1345,1328,1322,1323,1322,1339,1361,1410,1489,1618,1764,1980,2203,2372,2486,2534,2579
0,16/06/2022,13:00:02.611,V,NaN,NaN,NaN,NaN,NaN,0.0,0,0,-0.1,0.0,0.0000,Lu,256,1273,1264,1272,1276,1274,1284,1293,1306,1316,1328,1340,1338,1367,1427,1637,2088,2806,3808,4967,5995,6598,6981,7353,7526,7640,8166,8864,9820,11776,14584,17041,18894,20705,22434,23810,24743,25081,24853,24939,25722,26708,27470,28089,28532,28583,28283,27906,27553,27125,26796,26773,27085,27516,27651,27445,27375,27755,28222,28531,28834,29389,30154,30717,31060,31681,32742,33980,35146,36126,36747,37005,36988,36854,36569,35925,34975,33842,32635,31442,30197,28998,27915,26869,25775,24400,23048,22181,21574,21112,20803,20518,20203,19918,19677,19500,19325,19063,18710,18406,18151,17858,17417,16819,16175,15546,15053,14793,14703,14553,14331,14132,13963,13738,13269,12596,12016,11784,11700,11627,11563,11523,11365,10855,9906,9024,8540,8395,8533,8988,9481,9850,10096,10189,10097,9776,8842,7362,6347,6645,7588,8233,8437,8384,8174,7840,7448,7090,6780,6522,6266,6007,5626,5071,4506,4174,4049,3984,3947,3913,3925,3941,3913,3837,3696,3531,3415,3343,3256,3141,3052,2981,2914,2841,2771,2698,2608,2486,2304,2121,1994,1956,1898,1825,1792,1773,1773,1738,1655,1505,1397,1341,1333,1328,1323,1322,1326,1324,1337,1352,1384,1411,1427,1418,1422,1431,1428,1459,1437,1430,1417,1394,1390,1372,1368,1361,1342,1326,1320,1317,1303,1303,1289,1293,1278,1275,1272,1256,1260,1251,1255,1242,1237,1241,1244,1237,1233,1241,1220,1231,1237,1229,1241,1257,1266,1293,1324,1366,1397,1432,1460,1488,1505,1520,1525,1528,1551
0,16/06/2022,13:00:02.611,V,NaN,NaN,NaN,NaN,NaN,0.0,0,0,-0.1,0.0,0.0000,Lsky,256,2949,3104,3313,3526,3770,4020,4288,4578,4885,5212,5563,5978,6738,9234,17054,33307,60491,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,64159,60698,57255,52781,46061,38213,32722,30337,28438,25716,23579,22897,23111,22469,19292,14192,9352,6839,6153,5914,5673,5634,5749,5980,6397,7065,8078,8996,9310,9219,9294,9640,9989,10106,10012,9727,9292,8773,8251,7783,7364,6955,6541,6151,5765,5420,5085,4778,4494,4233,3984,3761,3553,3353,3163,2989,2837,2711,2601,2498,2410,2304,2236,2143,2069,2001,1935,1877,1844,1810,1833,1864,1981,2203,2574,3218,4215,5617,7349,9143,10653,11684,12264,12583,13002
1,16/06/2022,13:00:04.317,A,56.1268768,-3.74880337,200.5,56.2,-104.0,96.5,-1,0,-0.1,11.5,20.7500,Ed,128,1040,1032,1033,1049,1062,1070,1086,1104,1110,1131,1144,1146,1187,1245,1453,1923,2712,3855,5321,6756,7761,8398,9156,9690,9948,10735,12077,13428,16134,20899,25536,28819,31942,35199,37926,39883,40993,40788,40585,41818,43933,45622,46967,48307,48996,49024,48651,48484,48132,47760,47852,48646,49943,50977,51067,50989,51792,53286,54355,55028,56041,57770,59399,60270,61111,62933,65466,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,63291,60901,58504,56433,54787,53522,51996,49952,48239,47488,47401,47675,47986,48022,47852,47672,47665,47737,47648,47304,47029,47087,47028,46215,44401,42300,40663,39696,39616,40318,41034,41323,41328,41132,40673,39543,37447,35302,34266,34411,34863,35506,36337,37027,36566,34096,30850,28613,27960,28493,30542,33324,35858,37861,39220,39767,39323,36666,30702,24940,24315,28345,32424,34388,34842,34396,33247,31650,30065,28745,27511,26313,25132,23450,20747,17718,15653,14827,14616,14531,14567,14852,15192,15357,15218,14766,14047,13440,13058,12684,12125,11582,11112,10700,10238,9789,9341,8858,8157,7104,5952,5256,4976,4704,4311,4042,3987,4053,3933,3404,2613,1912,1593,1535,1512,1477,1489,1513,1562,1627,1737,1912,2079,2132,2123,2148,2234,2309,2339,2332,2291,2225,2143,2058,1986,1923,1852,1800,1728,1686,1633,1579,1534,1485,1446,1402,1373,1343,1310,1281,1259,1238,1220,1192,1179,1169,1153,1150,1138,1127,1113,1100,1108,1098,1091,1097,1105,1123,1144,1191,1253,1333,1433,1545,1643,1701,1714,1740
1,16/06/2022,13:00:04.317,A,56.1268768,-3.74880337,200.5,56.2,-104.0,96.5,-1,0,-0.1,11.5,20.6875,Lu,256,1266,1268,1281,1275,1274,1283,1296,1304,1312,1310,1328,1341,1351,1424,1643,2082,2790,3788,4952,5982,6564,6972,7328,7515,7614,8120,8843,9790,11725,14523,16970,18824,20619,22348,23718,24644,24980,24758,24848,25624,26601,27355,27985,28415,28472,28187,27787,27432,27020,26687,26668,26994,27401,27530,27341,27275,27653,28102,28419,28734,29284,30039,30587,30955,31555,32627,33868,35027,36002,36623,36864,36851,36748,36442,35807,34863,33736,32526,31334,30100,28893,27814,26792,25695,24309,22970,22080,21496,21060,20731,20438,20137,19853,19609,19429,19248,18986,18642,18333,18093,17800,17352,16761,16108,15484,14975,14747,14643,14486,14291,14067,13901,13671,13219,12539,11962,11737,11673,11594,11509,11474,11329,10809,9882,9005,8496,8354,8499,8950,9441,9811,10059,10163,10075,9746,8817,7343,6327,6625,7553,8207,8395,8355,8155,7801,7423,7075,6772,6496,6239,5986,5603,5055,4492,4165,4034,3969,3930,3901,3912,3929,3906,3821,3692,3538,3413,3338,3251,3144,3047,2976,2914,2838,2758,2683,2603,2474,2295,2113,2003,1945,1888,1829,1774,1768,1773,1739,1647,1507,1395,1337,1335,1327,1322,1325,1322,1322,1339,1366,1392,1408,1411,1410,1414,1422,1433,1429,1428,1417,1406,1399,1386,1376,1365,1355,1340,1330,1327,1312,1304,1293,1291,1284,1280,1281,1272,1259,1261,1261,1252,1254,1236,1248,1244,1235,1232,1239,1231,1225,1237,1226,1238,1262,1266,1285,1314,1355,1385,1429,1450,1480,1494,1508,1513,1520,1532
1,16/06/2022,13:00:04.317,A,56.1268768,-3.74880337,200.5,56.2,-104.0,96.5,-1,0,-0.1,11.5,20.7500,Lsky,128,1867,1936,2041,2138,2269,2410,2539,2692,2850,2999,3190,3390,3786,5063,9070,17388,31240,50478,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,62441,57362,55837,54936,54440,54732,55762,56370,55990,54428,51777,49078,47275,45860,43635,41235,39251,37463,35536,33648,31826,30024,27669,24147,20036,17202,15962,14981,13568,12471,12099,12227,11901,10250,7618,5133,3839,3493,3383,3257,3226,3293,3404,3619,3960,4490,4962,5118,5068,5112,5287,5455,5529,5473,5320,5103,4837,4557,4333,4110,3904,3687,3489,3291,3105,2946,2788,2639,2496,2384,2260,2158,2051,1953,1871,1799,1730,1672,1612,1573,1522,1490,1438,1402,1358,1328,1295,1270,1269,1278,1303,1363,1476,1665,1990,2501,3231,4106,5030,5799,6326,6633,6793,6995
2,16/06/2022,13:00:06.256,A,56.1266059,-3.74916172,200.5,56.2,-100.6,99.9,-2,0,-0.1,11.5,20.7500,Ed,64,959,955,959,961,960,970,981,988,1004,1003,1011,1008,1030,1066,1173,1408,1821,2409,3152,3895,4417,4748,5138,5401,5542,5956,6638,7336,8726,11190,13568,15267,16887,18555,19969,20992,21553,21448,21351,21989,23090,23955,24648,25347,25722,25725,25543,25459,25285,25090,25144,25569,26226,26796,26843,26791,27214,27999,28543,28923,29456,30366,31226,31683,32138,33085,34431,35731,36859,37749,38160,38252,38234,38105,37679,36894,35786,34550,33358,32105,30837,29754,28900,28238,27440,26361,25469,25077,25031,25185,25353,25367,25286,25187,25184,25232,25184,25010,24866,24895,24871,24449,23496,22393,21526,21023,20997,21363,21721,21877,21885,21783,21547,20945,19858,18737,18188,18269,18515,18851,19274,19638,19413,18106,16416,15251,14900,15182,16254,17701,19033,20094,20805,21093,20862,19472,16340,13327,13010,15116,17244,18290,18528,18281,17679,16844,16016,15328,14681,14067,13453,12572,11155,9597,8517,8089,7980,7934,7956,8101,8276,8356,8288,8057,7685,7358,7167,6970,6689,6398,6161,5945,5712,5484,5242,4992,4629,4085,3488,3141,2984,2844,2637,2503,2471,2503,2450,2173,1767,1404,1246,1209,1200,1192,1185,1198,1221,1252,1318,1405,1489,1518,1516,1535,1564,1613,1625,1626,1609,1566,1525,1471,1452,1419,1383,1349,1317,1289,1255,1244,1216,1181,1163,1150,1124,1111,1103,1081,1066,1053,1048,1046,1034,1028,1019,1016,1004,1002,999,994,987,983,984,990,989,993,1006,1030,1060,1108,1159,1210,1261,1286,1308,1316
2,16/06/2022,13:00:06.256,A,56.1266059,-3.74916172,200.5,56.2,-100.6,99.9,-2,0,-0.1,11.5,20.6875,Lu,256,1254,1255,1268,1273,1267,1282,1289,1304,1308,1314,1319,1324,1350,1432,1632,2059,2749,3712,4850,5843,6411,6790,7140,7325,7427,7924,8602,9523,11407,14108,16473,18277,20008,21670,23003,23901,24205,23998,24077,24836,25771,26508,27113,27523,27577,27296,26921,26587,26179,25846,25847,26130,26547,26685,26487,26437,26791,27238,27555,27833,28382,29125,29667,30038,30648,31679,32899,34029,35006,35619,35865,35882,35786,35502,34905,33982,32899,31748,30588,29388,28226,27161,26158,25090,23761,22433,21563,20983,20529,20193,19936,19623,19335,19106,18935,18762,18508,18159,17863,17624,17349,16927,16335,15693,15083,14577,14341,14235,14090,13881,13686,13510,13293,12856,12203,11634,11412,11345,11266,11186,11151,11002,10494,9572,8708,8234,8092,8226,8665,9139,9502,9754,9845,9765,9448,8566,7131,6153,6429,7327,7958,8166,8117,7915,7584,7204,6862,6573,6310,6067,5816,5451,4904,4381,4046,3936,3876,3828,3814,3820,3839,3807,3724,3603,3449,3329,3252,3173,3067,2984,2908,2844,2779,2702,2631,2554,2433,2264,2073,1971,1928,1867,1792,1754,1741,1749,1712,1623,1492,1378,1333,1324,1317,1310,1316,1318,1314,1332,1357,1378,1401,1411,1410,1406,1413,1416,1421,1421,1411,1406,1389,1375,1356,1349,1337,1334,1322,1320,1307,1301,1291,1286,1291,1270,1272,1261,1252,1250,1255,1242,1240,1237,1230,1236,1227,1223,1222,1228,1226,1232,1235,1230,1249,1250,1282,1296,1352,1387,1419,1445,1467,1485,1501,1504,1520,1535
2,16/06/2022,13:00:06.256,A,56.1266059,-3.74916172,200.5,56.2,-100.6,99.9,-2,0,-0.1,11.5,20.7500,Lsky,64,1289,1317,1375,1434,1486,1555,1635,1694,1767,1866,1952,2062,2262,2907,4912,9128,16132,25883,37416,47216,52223,55615,58885,59462,59543,64622,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65152,65535,65535,65535,65535,65535,65535,65535,65535,65535,58964,49099,54288,64248,65535,65535,65535,65535,65535,62159,59188,56595,53923,51439,48607,43975,37563,32198,29585,28800,28348,28102,28283,28840,29191,29009,28209,26829,25437,24496,23780,22622,21386,20378,19446,18457,17485,16546,15615,14407,12589,10468,9022,8390,7888,7172,6607,6429,6483,6326,5494,4162,2911,2252,2084,2024,1962,1953,1976,2042,2152,2328,2583,2833,2910,2882,2903,2997,3093,3127,3102,3028,2914,2786,2656,2533,2420,2313,2204,2100,1998,1914,1839,1749,1680,1603,1539,1490,1434,1376,1344,1289,1247,1213,1184,1164,1143,1114,1089,1067,1052,1029,1017,999,994,981,988,999,1026,1083,1188,1344,1599,1959,2401,2882,3264,3533,3679,3764,3874
3,16/06/2022,13:00:10.248,A,56.1263084,-3.74947166,200.5,56.2,-97.9,102.6,-2,1,-0.1,11.5,20.6875,Ed,64,959,954,960,960,970,971,976,982,993,1001,1002,1018,1024,1056,1167,1407,1815,2400,3134,3874,4388,4707,5112,5369,5505,5906,6601,7284,8676,11108,13475,15163,16755,18427,19823,20825,21383,21297,21184,21836,22916,23788,24484,25164,25535,25546,25354,25274,25103,24912,24967,25390,26049,26614,26657,26611,27037,27812,28369,28718,29246,30151,31013,31464,31914,32872,34183,35471,36605,37482,37886,37992,37957,37847,37417,36634,35529,34314,33135,31890,30637,29558,28706,28042,27269,26188,25303,24897,24864,25015,25168,25208,25123,25025,25026,25060,25028,24848,24706,24735,24708,24287,23331,22237,21390,20882,20861,21213,21585,21738,21743,21642,21405,20823,19734,18623,18067,18148,18386,18729,19155,19520,19292,18002,16305,15162,14809,15083,16153,17596,18914,19966,20672,20965,20741,19345,16252,13239,12934,15038,17140,18181,18409,18178,17578,16746,15939,15246,14607,13972,13371,12502,11096,9529,8463,8048,7919,7892,7903,8055,8232,8306,8236,8007,7636,7327,7128,6939,6646,6366,6131,5922,5678,5446,5216,4970,4597,4058,3470,3108,2964,2831,2627,2486,2466,2500,2440,2163,1758,1404,1233,1197,1194,1183,1184,1193,1213,1243,1314,1400,1486,1522,1514,1528,1572,1608,1622,1621,1604,1567,1526,1472,1440,1407,1375,1339,1313,1283,1250,1238,1212,1192,1165,1149,1136,1117,1096,1074,1063,1056,1049,1044,1030,1029,1011,1007,997,998,1010,990,978,978,986,985,987,994,1005,1023,1059,1101,1151,1216,1263,1293,1291,1309
