In-situ Marine Optics
DALEC (SN:0005)
FIRMWARE: DALEC_V5
---------CONFIGURATION---------
SD_CARD_LOGGING = ON
LOGFILE = LOG_0051.TXT
AVAILABLE_MEMORY = 0 (MB)
SIMULT = ON
AUTO_START = ON
STARTTIME = 00:00
ENDTIME = 24:00
AUTO_RELAZ = OFF
PARK_AFTER_STOP = OFF
TARGET_RELAZ = 135
DECLINATION = 0.00
USER_HEADING = OFF
USER_HEADING GPS_SPEED = 0.00
H = 0.00
BOOM OFFSET = 0.00
BOOM_REL_LIMIT_LEFT = -120
BOOM_REL_LIMIT_RIGHT = 120
POSITION_ACCURACY = 10
AUTO_INTTIME = ON
INTTIME_ED = 256
INTTIME_LU = 256
INTTIME_LSKY = 256
SPECTRUM_LB = 20000
SPECTRUM_UB = 40000
FIXED_LOCATION_MODE = OFF
FIXED_LOCATION_LON = 115.86
FIXED_LOCATION_LAT = -31.95
-------------------------------
Sample #,UTC Date,UTC Time,GPS_Fix,Lat,Lon,Solar Azi,Solar Elev,Relaz,Heading,Pitch,Roll,Gearpos,Voltage,Temp,Channel,Inttime,Spec[0],...,Spec[255]
0,16/06/2022,09:30:11.345,A,56.1996231,-3.41620326,121.7,46.4,-94.5,25.9,-3,-17,-0.3,11.6,22.3750,Ed,88,956,951,947,957,954,964,973,985,983,995,998,1001,1013,1060,1151,1381,1777,2346,3078,3817,4326,4650,5053,5338,5479,5889,6586,7296,8701,11166,13577,15290,16941,18663,20113,21170,21775,21703,21622,22315,23453,24375,25124,25866,26256,26317,26146,26087,25940,25772,25848,26307,27010,27609,27681,27663,28133,28957,29563,29971,30571,31563,32453,32947,33421,34474,35894,37273,38501,39460,39936,40085,40092,40002,39565,38749,37581,36303,35065,33758,32463,31319,30401,29704,28898,27834,26945,26532,26467,26544,26647,26650,26534,26425,26430,26486,26456,26280,26158,26194,26162,25730,24765,23660,22770,22229,22162,22503,22882,23012,23011,22902,22652,22037,20925,19794,19324,19469,19783,20180,20646,21039,20826,19546,17851,16706,16392,16730,17870,19392,20816,21947,22727,23067,22854,21338,17898,14578,14234,16588,18961,20118,20401,20151,19497,18585,17685,16937,16223,15544,14859,13880,12350,10641,9475,8991,8857,8792,8796,8942,9119,9191,9095,8829,8414,8064,7843,7620,7307,6991,6727,6485,6224,5970,5719,5442,5029,4448,3798,3416,3246,3094,2871,2720,2688,2717,2644,2348,1889,1506,1319,1281,1265,1238,1246,1254,1278,1312,1383,1470,1569,1593,1580,1595,1637,1675,1692,1695,1678,1626,1590,1529,1504,1466,1422,1385,1340,1323,1278,1258,1233,1207,1196,1161,1144,1128,1108,1096,1080,1066,1058,1043,1036,1031,1017,1014,1013,1006,1001,991,989,984,989,989,981,991,1003,1027,1063,1106,1168,1221,1273,1297,1317,1323
0,16/06/2022,09:30:11.345,A,56.1996231,-3.41620326,121.7,46.4,-94.5,25.9,-3,-17,-0.3,11.6,22.3750,Lu,406,1317,1301,1303,1317,1322,1326,1342,1341,1347,1342,1366,1371,1391,1458,1658,2077,2756,3706,4833,5819,6404,6789,7168,7357,7469,7983,8696,9648,11571,14331,16773,18593,20403,22137,23523,24504,24892,24735,24864,25702,26773,27650,28403,28997,29191,29039,28766,28504,28146,27893,27954,28340,28842,29055,28869,28864,29316,29884,30330,30767,31488,32437,33164,33684,34484,35808,37321,38798,40075,40964,41443,41599,41631,41449,40837,39845,38581,37251,35880,34479,33135,31882,30700,29482,27954,26470,25468,24789,24222,23780,23388,22943,22538,22201,21946,21701,21368,20983,20647,20385,20089,19632,19022,18316,17557,16868,16421,16150,15828,15488,15216,15043,14845,14450,13872,13453,13413,13515,13559,13549,13517,13300,12596,11397,10255,9545,9218,9219,9553,9981,10318,10578,10686,10613,10291,9300,7710,6626,6946,7957,8690,8922,8883,8667,8312,7906,7566,7257,6973,6714,6445,6039,5416,4813,4428,4278,4196,4118,4081,4062,4083,4044,3945,3816,3639,3507,3438,3344,3229,3131,3051,2971,2906,2824,2751,2668,2534,2349,2152,2047,1987,1927,1857,1809,1809,1798,1772,1672,1543,1422,1381,1374,1373,1362,1349,1362,1358,1379,1384,1405,1447,1450,1450,1459,1454,1470,1460,1463,1446,1449,1435,1417,1399,1396,1388,1369,1362,1352,1353,1337,1330,1328,1320,1319,1315,1303,1291,1285,1289,1284,1279,1275,1274,1274,1263,1255,1267,1267,1268,1270,1276,1273,1281,1297,1332,1363,1403,1444,1497,1521,1552,1574,1584,1594,1601,1625
0,16/06/2022,09:30:11.345,A,56.1996231,-3.41620326,121.7,46.4,-94.5,25.9,-3,-17,-0.3,11.6,22.5000,Lsky,13,840,837,840,852,859,881,884,897,897,913,931,941,965,1055,1316,1901,2841,4190,5804,7185,7886,8373,8837,8925,8955,9663,10423,11469,14170,17732,20488,22533,24794,26952,28717,29977,30521,30319,30914,32550,34034,35000,35863,36295,36094,35379,34722,34009,33205,32585,32441,32713,33025,32686,31981,31751,32229,32536,32497,32565,33148,33848,34087,34182,34931,36264,37557,38671,39619,40003,40010,39930,39795,39338,38487,37232,35838,34483,33053,31647,30447,29474,28618,27533,25951,24528,23816,23583,23504,23395,23136,22745,22393,22175,22003,21700,21245,20853,20605,20313,19858,19136,18339,17644,17075,16846,16966,17006,16860,16671,16472,16226,15703,14734,13850,13585,13662,13747,13841,14051,14161,13724,12524,11308,10769,10693,11081,12007,13027,13830,14426,14755,14765,14360,12755,10020,8378,9274,10995,11990,12263,12171,11852,11331,10739,10241,9808,9376,8973,8491,7717,6649,5764,5353,5217,5151,5107,5141,5240,5314,5286,5169,4938,4718,4567,4458,4263,4062,3910,3750,3598,3422,3282,3130,2935,2632,2288,2050,1961,1876,1762,1666,1646,1650,1635,1500,1281,1088,986,957,946,944,939,940,957,962,998,1036,1068,1084,1083,1090,1103,1117,1126,1125,1105,1087,1081,1054,1031,1017,1010,979,977,954,948,925,910,899,892,882,873,863,858,848,846,834,832,827,818,815,809,811,797,799,793,797,790,790,798,805,792,789,803,814,851,883,929,994,1062,1116,1159,1175,1179,1200
1,16/06/2022,09:30:13.476,A,56.1996231,-3.41620326,121.7,46.4,-14.9,106.8,-3,0,-0.3,11.5,22.6250,Ed,65,937,918,928,920,928,935,949,950,954,958,965,969,973,1005,1079,1235,1541,1961,2522,3076,3467,3717,3999,4215,4318,4636,5168,5684,6753,8595,10402,11696,12938,14222,15313,16095,16553,16507,16439,16956,17817,18518,19078,19645,19925,19963,19848,19804,19685,19555,19630,19973,20514,20968,21010,20991,21345,21965,22432,22734,23184,23909,24607,24966,25358,26108,27199,28247,29170,29909,30254,30365,30372,30310,29984,29369,28486,27540,26591,25614,24634,23766,23076,22550,21950,21144,20470,20168,20113,20166,20257,20243,20149,20077,20088,20130,20115,19986,19890,19921,19905,19567,18847,18009,17343,16930,16880,17144,17414,17512,17503,17421,17254,16795,15941,15111,14730,14863,15100,15388,15736,16039,15867,14896,13637,12756,12534,12773,13642,14805,15868,16714,17315,17568,17398,16244,13667,11163,10913,12693,14473,15340,15540,15363,14866,14189,13509,12949,12413,11892,11372,10649,9494,8214,7319,6978,6874,6814,6828,6924,7065,7119,7048,6842,6531,6267,6098,5942,5693,5465,5264,5086,4884,4689,4500,4293,3997,3549,3064,2772,2661,2547,2366,2255,2230,2254,2209,1971,1581,1326,1142,1198,1076,1154,1208,1127,1226,1119,1314,1256,1391,1415,1384,1455,1373,1548,1443,1496,1420,1412,1445,1324,1442,1262,1313,1196,1207,1263,1153,1257,1081,1142,1021,1085,1135,1032,1112,953,1089,946,1009,1025,971,1026,905,1054,922,968,932,936,1008,922,1045,901,986,874,955,986,1017,1041,1088,1134,1177,1199,1202,1177
1,16/06/2022,09:30:13.476,A,56.1996231,-3.41620326,121.7,46.4,-14.9,106.8,-3,0,-0.3,11.5,22.4375,Lu,292,1260,1256,1259,1264,1266,1270,1279,1277,1274,1294,1304,1302,1314,1351,1511,1806,2298,2990,3787,4496,4935,5206,5472,5613,5687,6054,6564,7233,8629,10600,12354,13659,14958,16203,17202,17902,18191,18069,18169,18766,19526,20154,20707,21131,21273,21165,20981,20767,20527,20350,20390,20665,21042,21180,21056,21053,21387,21792,22106,22432,22957,23639,24161,24540,25130,26076,27182,28248,29175,29824,30170,30298,30338,30172,29742,29015,28122,27162,26172,25157,24167,23272,22426,21539,20431,19353,18640,18144,17734,17415,17135,16813,16524,16281,16091,15915,15681,15394,15153,14966,14747,14435,13974,13479,12930,12428,12114,11905,11679,11428,11236,11113,10971,10688,10276,9969,9951,10020,10064,10055,10017,9864,9360,8510,7680,7172,6929,6932,7170,7477,7724,7904,7983,7934,7695,6995,5861,5068,5293,6027,6548,6727,6692,6544,6299,6009,5733,5524,5322,5141,4930,4660,4211,3772,3501,3394,3329,3271,3244,3239,3249,3215,3148,3062,2943,2843,2776,2722,2631,2562,2516,2468,2403,2355,2294,2232,2131,1991,1867,1786,1742,1705,1656,1621,1608,1609,1594,1530,1432,1351,1306,1299,1297,1296,1299,1308,1307,1311,1319,1341,1352,1355,1362,1365,1360,1371,1370,1375,1358,1358,1343,1335,1334,1319,1315,1299,1305,1292,1290,1290,1275,1268,1262,1270,1266,1268,1262,1255,1239,1243,1247,1245,1236,1240,1238,1237,1226,1234,1236,1240,1242,1248,1257,1269,1282,1301,1336,1372,1383,1424,1446,1459,1471,1473,1482,1489
1,16/06/2022,09:30:13.476,A,56.1996231,-3.41620326,121.7,46.4,-14.9,106.8,-3,0,-0.3,11.5,22.7500,Lsky,9,815,812,828,825,835,833,847,855,862,875,886,892,917,978,1180,1611,2353,3376,4603,5645,6200,6568,6922,6987,7006,7554,8127,8942,10994,13705,15809,17377,19098,20748,22092,23060,23470,23319,23770,25014,26164,26909,27561,27891,27748,27206,26694,26150,25543,25055,24947,25168,25406,25161,24599,24428,24823,25050,25006,25060,25495,26046,26247,26327,26887,27929,28900,29760,30489,30789,30809,30742,30638,30287,29639,28677,27599,26575,25469,24389,23469,22717,22063,21230,20015,18931,18387,18212,18150,18058,17872,17575,17305,17133,17013,16772,16430,16127,15934,15718,15372,14819,14197,13655,13245,13068,13155,13175,13080,12927,12777,12580,12186,11440,10765,10551,10619,10671,10746,10912,11005,10671,9742,8819,8401,8339,8640,9360,10141,10751,11226,11479,11499,11186,9937,7844,6573,7271,8609,9367,9565,9503,9257,8853,8399,8018,7687,7350,7037,6682,6085,5263,4591,4262,4165,4118,4090,4112,4200,4242,4232,4138,3966,3798,3675,3582,3449,3295,3164,3050,2931,2807,2695,2575,2420,2198,1929,1758,1685,1613,1532,1458,1427,1434,1428,1325,1153,1005,929,911,906,899,895,894,906,905,927,969,989,1005,991,1009,1016,1032,1030,1035,1021,1009,998,982,967,953,941,926,918,910,911,883,877,864,861,858,856,847,826,829,820,822,812,817,807,806,811,801,796,795,794,793,787,789,788,786,789,785,790,806,823,850,888,937,992,1037,1064,1075,1084,1100
2,16/06/2022,09:30:16.353,A,56.1996231,-3.41620326,121.7,46.4,-14.2,107.5,-3,0,-0.1,11.5,22.6250,Ed,65,928,915,909,922,923,924,943,934,953,955,959,963,980,1000,1081,1252,1537,1980,2525,3077,3466,3720,4015,4225,4317,4629,5173,5701,6753,8616,10439,11722,12956,14264,15349,16137,16598,16544,16479,17006,17864,18566,19119,19683,19975,20008,19891,19852,19735,19612,19678,20020,20553,20998,21061,21041,21396,22025,22473,22798,23238,23983,24664,25040,25409,26197,27263,28318,29246,29973,30336,30450,30461,30387,30057,29447,28552,27605,26649,25670,24690,23820,23129,22605,21997,21201,20519,20211,20153,20221,20305,20299,20208,20134,20134,20166,20153,20028,19941,19957,19944,19609,18890,18041,17382,16971,16918,17182,17456,17552,17559,17479,17286,16841,15992,15137,14771,14900,15134,15428,15771,16077,15913,14935,13663,12797,12559,12802,13672,14838,15883,16753,17322,17587,17423,16280,13667,11183,10925,12708,14484,15351,15559,15374,14886,14191,13518,12964,12421,11913,11386,10668,9505,8229,7347,6982,6873,6831,6830,6930,7077,7121,7055,6849,6541,6272,6098,5942,5700,5459,5260,5086,4880,4692,4499,4288,4000,3552,3069,2777,2666,2550,2368,2253,2236,2253,2202,1971,1633,1339,1189,1175,1171,1152,1144,1146,1178,1192,1243,1317,1382,1413,1397,1408,1443,1475,1483,1482,1468,1425,1398,1363,1332,1304,1275,1241,1216,1199,1177,1156,1134,1121,1099,1080,1061,1057,1044,1032,1018,1009,1006,995,985,983,969,968,964,955,957,950,953,956,951,950,942,953,963,979,1004,1047,1080,1129,1165,1191,1194,1208
2,16/06/2022,09:30:16.353,A,56.1996231,-3.41620326,121.7,46.4,-14.2,107.5,-3,0,-0.1,11.5,22.4375,Lu,292,1270,1263,1255,1256,1261,1273,1276,1279,1290,1299,1308,1315,1328,1374,1513,1813,2319,3013,3833,4572,4998,5283,5551,5693,5769,6141,6658,7350,8769,10779,12553,13906,15217,16473,17505,18206,18497,18372,18487,19098,19888,20513,21064,21494,21644,21543,21325,21136,20887,20694,20747,21040,21399,21563,21416,21420,21755,22175,22498,22823,23342,24047,24581,24948,25557,26523,27645,28718,29679,30326,30687,30808,30837,30686,30239,29518,28592,27604,26605,25562,24573,23644,22797,21896,20775,19683,18946,18439,18019,17704,17423,17096,16819,16558,16369,16187,15955,15650,15403,15221,14995,14678,14216,13706,13156,12645,12324,12117,11881,11644,11441,11301,11171,10861,10447,10142,10117,10198,10227,10218,10192,10029,9519,8630,7803,7287,7039,7029,7275,7599,7859,8030,8121,8059,7836,7111,5945,5147,5392,6134,6655,6831,6808,6653,6391,6098,5830,5617,5403,5211,5015,4711,4260,3819,3545,3438,3365,3314,3275,3283,3284,3258,3196,3084,2968,2876,2808,2758,2673,2598,2541,2484,2429,2362,2320,2258,2155,2022,1885,1800,1767,1714,1671,1634,1623,1623,1598,1528,1435,1353,1314,1310,1301,1295,1303,1295,1302,1317,1324,1339,1364,1359,1358,1370,1370,1376,1376,1373,1369,1352,1354,1338,1325,1317,1314,1310,1312,1304,1297,1283,1278,1276,1272,1264,1265,1262,1261,1253,1239,1254,1253,1234,1245,1248,1235,1239,1231,1226,1238,1232,1234,1243,1259,1264,1283,1295,1337,1369,1394,1422,1445,1455,1467,1475,1480,1482
2,16/06/2022,09:30:16.353,A,56.1996231,-3.41620326,121.7,46.4,-14.2,107.5,-3,0,-0.1,11.5,22.7500,Lsky,9,833,819,827,830,853,842,857,861,876,876,889,903,920,986,1195,1633,2368,3400,4634,5679,6232,6601,6973,7023,7044,7599,8176,8993,11047,13775,15893,17463,19209,20861,22207,23174,23594,23432,23883,25142,26286,27031,27699,28016,27864,27327,26820,26264,25647,25154,25060,25271,25508,25260,24712,24519,24904,25142,25109,25164,25615,26135,26320,26412,26977,28009,28990,29862,30576,30884,30892,30826,30722,30374,29709,28740,27667,26636,25538,24447,23526,22773,22121,21285,20067,18980,18446,18251,18191,18105,17909,17610,17343,17169,17032,16807,16454,16147,15952,15753,15394,14841,14216,13688,13256,13081,13175,13201,13086,12950,12787,12596,12200,11458,10778,10575,10632,10688,10764,10929,10998,10678,9749,8829,8414,8349,8656,9366,10135,10740,11204,11451,11479,11165,9916,7843,6579,7267,8590,9355,9544,9471,9242,8834,8396,8004,7684,7343,7028,6660,6076,5255,4585,4263,4169,4117,4088,4122,4184,4238,4221,4123,3960,3786,3666,3581,3433,3282,3164,3051,2920,2813,2683,2565,2432,2195,1934,1753,1673,1608,1522,1454,1446,1449,1431,1327,1166,1010,942,919,910,906,906,902,916,928,945,975,992,1007,1005,1004,1026,1028,1040,1036,1026,1007,1001,989,978,950,955,934,918,910,902,886,878,865,857,850,839,832,836,826,828,819,815,805,804,804,814,798,792,796,796,787,789,783,787,791,796,787,792,810,822,859,897,941,990,1036,1070,1082,1091,1102
3,16/06/2022,09:30:18.056,A,56.1996231,-3.41620326,121.8,46.4,-13.5,108.3,-2,0,-0.1,11.5,22.6250,Ed,65,930,925,918,923,927,934,947,944,953,959,955,974,980,1002,1071,1246,1551,1980,2525,3075,3475,3719,4017,4235,4340,4654,5185,5713,6774,8649,10452,11748,13002,14295,15391,16187,16648,16587,16536,17057,17913,18610,19174,19735,20046,20069,19947,19908,19791,19651,19716,20068,20615,21052,21108,21091,21447,22064,22542,22843,23295,24032,24712,25099,25471,26254,27328,28377,29320,30037,30402,30512,30523,30453,30117,29502,28614,27650,26724,25724,24736,23871,23183,22655,22050,21237,20566,20266,20201,20258,20348,20334,20256,20171,20175,20216,20198,20073,19969,20008,19982,19658,18927,18093,17412,17001,16945,17214,17488,17590,17597,17501,17314,16866,16022,15159,14790,14921,15157,15459,15807,16104,15943,14976,13688,12832,12592,12835,13693,14841,15915,16767,17356,17610,17432,16300,13697,11196,10941,12718,14502,15377,15580,15398,14902,14213,13547,12983,12439,11921,11397,10673,9534,8247,7352,6995,6886,6851,6844,6947,7083,7124,7066,6856,6541,6276,6116,5942,5703,5468,5273,5091,4892,4693,4501,4306,4014,3556,3071,2775,2655,2547,2363,2259,2231,2267,2196,1982,1630,1344,1207,1169,1160,1141,1141,1157,1175,1194,1256,1326,1390,1408,1401,1405,1446,1476,1482,1476,1470,1433,1399,1371,1326,1305,1279,1254,1220,1196,1182,1161,1128,1113,1100,1084,1077,1053,1046,1030,1015,1007,992,992,987,981,977,969,966,959,963,954,955,949,943,949,956,958,969,983,1005,1038,1075,1122,1162,1191,1195,1209
