In-situ Marine Optics
DALEC (SN:0005)
FIRMWARE: DALEC_V5
---------CONFIGURATION---------
SD_CARD_LOGGING = ON
LOGFILE = LOG_0054.TXT
AVAILABLE_MEMORY = 0 (MB)
SIMULT = ON
AUTO_START = ON
STARTTIME = 00:00
ENDTIME = 24:00
AUTO_RELAZ = OFF
PARK_AFTER_STOP = OFF
TARGET_RELAZ = 135
DECLINATION = 0.00
USER_HEADING = OFF
USER_HEADING GPS_SPEED = 0.00
H = 0.00
BOOM OFFSET = 0.00
BOOM_REL_LIMIT_LEFT = -120
BOOM_REL_LIMIT_RIGHT = 120
POSITION_ACCURACY = 10
AUTO_INTTIME = ON
INTTIME_ED = 256
INTTIME_LU = 256
INTTIME_LSKY = 256
SPECTRUM_LB = 20000
SPECTRUM_UB = 40000
FIXED_LOCATION_MODE = OFF
FIXED_LOCATION_LON = 115.86
FIXED_LOCATION_LAT = -31.95
-------------------------------
Sample #,UTC Date,UTC Time,GPS_Fix,Lat,Lon,Solar Azi,Solar Elev,Relaz,Heading,Pitch,Roll,Gearpos,Voltage,Temp,Channel,Inttime,Spec[0],...,Spec[255]
0,16/06/2022,09:47:24.619,A,56.2000350,-3.41571497,126.7,48.3,0.0,0.0,0,0,-0.1,0.0,0.0000,Ed,256,1144,1137,1153,1169,1186,1216,1238,1253,1275,1305,1335,1364,1403,1508,1821,2578,3862,5728,8142,10556,12265,13345,14637,15567,16024,17379,19665,21971,26577,34624,42491,48075,53416,58999,63668,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65107,61550,59983,60502,61455,62643,64027,65152,64401,60359,55044,51416,50384,51307,54717,59274,63456,65535,65535,65535,65535,64428,53952,43757,42711,49933,57095,60611,61428,60684,58742,56022,53310,51021,48862,46777,44669,41730,37058,31822,28192,26701,26245,26042,26010,26407,26944,27126,26814,25930,24654,23560,22854,22153,21131,20135,19325,18583,17774,16967,16169,15332,14094,12255,10271,9034,8536,8053,7346,6855,6768,6851,6633,5664,4226,2944,2352,2245,2215,2151,2142,2192,2252,2387,2597,2896,3195,3286,3255,3282,3422,3540,3594,3572,3504,3373,3213,3054,2922,2806,2691,2577,2457,2352,2250,2169,2077,1991,1922,1852,1793,1726,1679,1627,1582,1543,1502,1463,1443,1423,1404,1375,1358,1340,1316,1307,1287,1284,1281,1281,1301,1306,1357,1426,1542,1688,1864,2062,2220,2320,2351,2394
0,16/06/2022,09:47:24.619,A,56.2000350,-3.41571497,126.7,48.3,0.0,0.0,0,0,-0.1,0.0,0.0000,Lu,256,1266,1258,1268,1266,1269,1265,1273,1276,1287,1295,1300,1305,1314,1378,1527,1842,2367,3102,3962,4729,5181,5467,5754,5907,5991,6391,6925,7643,9109,11218,13081,14490,15852,17189,18265,18998,19270,19145,19262,19910,20719,21359,21928,22343,22484,22343,22117,21905,21635,21441,21489,21782,22174,22343,22220,22216,22568,23000,23310,23619,24158,24862,25412,25801,26406,27415,28569,29683,30667,31335,31717,31854,31932,31804,31385,30679,29788,28815,27822,26817,25801,24893,24038,23137,21971,20833,20088,19567,19147,18834,18577,18253,17985,17740,17566,17386,17138,16826,16559,16381,16167,15822,15358,14801,14226,13689,13368,13161,12926,12668,12475,12316,12163,11811,11296,10912,10840,10878,10871,10803,10746,10544,9993,9044,8167,7638,7410,7438,7720,8086,8376,8570,8655,8583,8316,7539,6277,5413,5667,6480,7051,7240,7204,7051,6773,6451,6157,5923,5700,5493,5281,4958,4483,4008,3711,3598,3539,3484,3445,3452,3454,3420,3358,3252,3110,3003,2933,2877,2786,2698,2647,2585,2523,2456,2395,2330,2233,2078,1937,1839,1802,1753,1703,1669,1648,1657,1638,1551,1453,1356,1314,1308,1307,1301,1300,1300,1309,1308,1330,1347,1368,1370,1373,1373,1373,1381,1386,1387,1390,1371,1368,1348,1342,1335,1324,1313,1315,1292,1279,1290,1283,1280,1283,1271,1266,1260,1265,1250,1242,1251,1240,1244,1241,1240,1229,1231,1237,1226,1236,1234,1235,1235,1256,1264,1276,1306,1340,1369,1401,1427,1453,1470,1486,1467,1486,1501
0,16/06/2022,09:47:24.619,A,56.2000350,-3.41571497,126.7,48.3,0.0,0.0,0,0,-0.1,0.0,0.0000,Lsky,256,2322,2422,2559,2700,2862,3031,3217,3420,3626,3840,4089,4357,4845,6441,11495,22139,40139,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,62664,59259,56440,53883,51135,48428,45787,43168,39792,34708,28770,24650,22870,21454,19408,17832,17319,17480,17003,14627,10833,7250,5407,4883,4718,4537,4497,4580,4745,5037,5503,6253,6925,7152,7077,7132,7402,7658,7762,7687,7480,7159,6774,6395,6045,5735,5429,5130,4834,4541,4287,4034,3804,3599,3395,3226,3050,2898,2746,2600,2484,2370,2269,2176,2116,2039,1964,1902,1834,1793,1728,1680,1634,1604,1592,1587,1612,1692,1837,2094,2535,3223,4182,5378,6590,7619,8317,8701,8921,9209
1,16/06/2022,09:47:27.337,A,56.2000465,-3.41571998,126.7,48.3,-137.6,349.1,0,0,-0.1,11.5,23.1875,Ed,128,1004,990,1000,1016,1023,1035,1042,1057,1065,1077,1094,1100,1129,1182,1349,1725,2377,3329,4552,5767,6642,7187,7847,8318,8554,9249,10397,11569,13918,18012,22013,24838,27565,30425,32809,34529,35529,35399,35273,36392,38279,39792,41016,42221,42889,42939,42664,42559,42279,42015,42121,42852,44010,44973,45081,45062,45818,47177,48166,48835,49783,51378,52834,53612,54384,56028,58321,60541,62498,64038,64777,64997,64992,64828,64093,62768,60888,58832,56819,54708,52562,50715,49258,48130,46844,45113,43677,43026,42903,43047,43227,43216,43026,42860,42849,42944,42881,42592,42397,42458,42444,41740,40198,38380,36929,36051,35963,36539,37148,37390,37389,37222,36809,35815,33956,32091,31273,31545,32054,32668,33403,33993,33601,31473,28710,26820,26272,26765,28543,30926,33127,34859,36016,36497,36091,33654,28156,22840,22319,26073,29823,31657,32092,31697,30685,29249,27846,26663,25528,24431,23340,21815,19396,16687,14828,14047,13828,13721,13703,13910,14179,14273,14107,13669,13014,12447,12079,11721,11196,10687,10282,9892,9477,9069,8664,8228,7589,6647,5631,5022,4763,4511,4147,3897,3849,3908,3782,3295,2565,1909,1609,1547,1532,1508,1496,1518,1565,1628,1727,1887,2040,2083,2065,2086,2151,2219,2246,2228,2191,2130,2049,1970,1903,1840,1777,1717,1657,1600,1562,1515,1465,1422,1399,1347,1318,1293,1262,1238,1209,1188,1179,1156,1141,1139,1130,1116,1103,1086,1087,1067,1073,1067,1060,1066,1063,1079,1107,1145,1199,1269,1367,1455,1544,1597,1616,1628
1,16/06/2022,09:47:27.337,A,56.2000465,-3.41571998,126.7,48.3,-137.6,349.1,0,0,-0.1,11.5,22.8125,Lu,256,1257,1261,1261,1263,1265,1274,1279,1282,1278,1306,1296,1311,1333,1380,1527,1845,2365,3097,3969,4728,5192,5480,5764,5914,5992,6395,6923,7650,9124,11242,13105,14516,15886,17212,18272,19012,19308,19180,19286,19933,20740,21400,21954,22378,22523,22381,22158,21947,21666,21460,21513,21810,22192,22373,22245,22255,22598,23015,23336,23647,24183,24889,25441,25831,26445,27447,28602,29708,30691,31368,31756,31913,31963,31855,31438,30730,29831,28859,27867,26840,25842,24917,24065,23152,21981,20837,20101,19587,19169,18855,18574,18277,17992,17760,17574,17394,17146,16846,16585,16399,16182,15843,15352,14810,14242,13707,13374,13183,12946,12684,12470,12322,12158,11820,11306,10912,10832,10884,10883,10822,10760,10555,9998,9057,8174,7642,7418,7446,7739,8103,8394,8601,8686,8622,8358,7561,6303,5428,5679,6500,7074,7281,7246,7077,6793,6471,6180,5946,5717,5506,5305,4966,4494,4012,3718,3604,3555,3497,3457,3470,3472,3434,3366,3252,3121,3016,2955,2888,2804,2719,2650,2591,2534,2471,2422,2346,2239,2088,1926,1856,1808,1769,1702,1668,1667,1658,1632,1559,1450,1367,1320,1318,1308,1310,1294,1295,1303,1314,1328,1352,1377,1376,1377,1381,1374,1387,1393,1377,1375,1373,1362,1351,1345,1333,1335,1320,1308,1306,1292,1296,1285,1280,1279,1271,1273,1274,1257,1243,1242,1239,1235,1238,1247,1238,1231,1234,1230,1229,1244,1235,1244,1251,1247,1262,1281,1307,1335,1376,1407,1433,1455,1464,1483,1475,1486,1508
1,16/06/2022,09:47:27.337,A,56.2000465,-3.41571998,126.7,48.3,-137.6,349.1,0,0,-0.1,11.5,23.2500,Lsky,128,1561,1618,1674,1762,1841,1923,2022,2108,2219,2340,2458,2599,2846,3667,6228,11658,20829,33731,49086,62245,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,63434,54325,46674,42907,41767,41109,40742,40989,41777,42270,41989,40827,38840,36824,35476,34431,32758,30973,29494,28150,26713,25295,23931,22570,20821,18188,15117,13005,12091,11358,10310,9493,9251,9333,9087,7862,5912,4076,3129,2868,2783,2692,2675,2709,2796,2938,3185,3568,3906,4030,3991,4017,4152,4285,4335,4301,4194,4026,3828,3641,3458,3299,3142,2983,2843,2690,2561,2433,2316,2217,2099,2025,1932,1860,1784,1709,1635,1576,1528,1491,1450,1414,1373,1354,1316,1287,1261,1241,1207,1200,1185,1175,1199,1237,1307,1447,1671,2017,2497,3115,3743,4264,4616,4812,4923,5070
2,16/06/2022,09:47:29.254,A,56.2000503,-3.41572833,126.8,48.3,-135.7,351.0,0,-1,-0.1,11.5,23.1875,Ed,59,923,915,910,927,929,925,927,937,948,948,964,968,970,1012,1075,1263,1571,2024,2602,3182,3598,3858,4177,4397,4514,4839,5394,5953,7055,9020,10905,12257,13555,14914,16055,16882,17354,17284,17231,17772,18660,19397,19974,20551,20865,20902,20776,20728,20592,20463,20533,20882,21435,21907,21956,21948,22326,22973,23454,23782,24243,25007,25727,26082,26472,27285,28397,29477,30437,31175,31554,31668,31665,31594,31245,30618,29684,28690,27717,26691,25675,24765,24062,23517,22906,22063,21369,21057,20988,21073,21163,21152,21072,20996,20995,21040,21026,20881,20776,20805,20802,20463,19712,18836,18150,17723,17679,17950,18244,18361,18361,18275,18090,17606,16697,15803,15412,15546,15783,16097,16447,16726,16547,15517,14174,13273,13012,13245,14101,15269,16324,17152,17725,17954,17766,16576,13925,11369,11096,12920,14740,15623,15819,15634,15143,14453,13794,13214,12667,12132,11606,10862,9708,8410,7512,7151,7034,6979,6974,7080,7215,7248,7174,6959,6642,6380,6203,6026,5776,5541,5334,5158,4953,4752,4568,4355,4061,3611,3126,2830,2706,2588,2416,2291,2270,2301,2241,2016,1659,1349,1209,1170,1171,1152,1162,1163,1181,1214,1261,1346,1414,1438,1426,1436,1471,1501,1508,1505,1490,1461,1420,1379,1351,1317,1289,1264,1229,1210,1171,1164,1141,1126,1111,1094,1067,1062,1045,1031,1018,1011,997,986,990,984,981,976,959,961,949,943,945,935,936,954,942,955,963,980,1001,1039,1077,1131,1167,1192,1206,1212
2,16/06/2022,09:47:29.254,A,56.2000503,-3.41572833,126.8,48.3,-135.7,351.0,0,-1,-0.1,11.5,22.8125,Lu,256,1266,1252,1260,1255,1267,1268,1271,1288,1289,1290,1307,1301,1322,1371,1511,1827,2364,3103,3961,4735,5186,5487,5763,5922,6001,6387,6934,7656,9121,11242,13099,14506,15896,17212,18297,19026,19315,19187,19291,19946,20750,21399,21955,22374,22520,22365,22154,21945,21668,21471,21512,21816,22204,22372,22255,22250,22596,23019,23336,23660,24172,24884,25437,25823,26443,27435,28592,29713,30687,31365,31743,31901,31944,31841,31419,30721,29815,28857,27864,26832,25837,24910,24067,23143,21982,20843,20088,19572,19167,18857,18582,18275,17995,17751,17579,17406,17150,16832,16583,16401,16170,15845,15351,14810,14236,13710,13386,13182,12948,12680,12473,12321,12164,11827,11299,10907,10836,10870,10873,10810,10751,10550,9999,9047,8168,7638,7413,7442,7740,8103,8383,8590,8672,8612,8346,7572,6302,5422,5688,6501,7075,7266,7235,7070,6796,6470,6187,5939,5715,5505,5295,4969,4491,4019,3709,3603,3553,3492,3459,3464,3470,3440,3362,3257,3120,3023,2955,2886,2796,2723,2649,2600,2537,2464,2417,2347,2229,2086,1935,1847,1801,1752,1710,1667,1647,1654,1627,1554,1452,1356,1320,1309,1305,1299,1296,1299,1295,1315,1318,1346,1371,1361,1362,1367,1371,1385,1378,1379,1378,1378,1352,1337,1329,1330,1323,1312,1298,1295,1285,1286,1278,1275,1268,1262,1266,1257,1249,1256,1249,1244,1243,1230,1227,1227,1223,1227,1229,1233,1222,1229,1231,1235,1250,1258,1276,1297,1331,1373,1399,1427,1450,1463,1480,1493,1493,1506
2,16/06/2022,09:47:29.254,A,56.2000503,-3.41572833,126.8,48.3,-135.7,351.0,0,-1,-0.1,11.5,23.2500,Lsky,64,1185,1207,1242,1278,1318,1371,1417,1459,1520,1582,1641,1716,1849,2265,3600,6392,11128,17798,25765,32570,36113,38544,40858,41281,41413,44975,48653,53912,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,63573,62276,62636,62909,63264,64123,64502,62452,56860,51274,48728,48313,50015,54161,58659,62073,64617,65535,65535,63961,56620,44162,36553,40681,48570,53077,54250,53838,52406,50068,47451,45183,43221,41194,39313,37136,33617,28768,24718,22736,22148,21784,21591,21720,22133,22392,22252,21635,20588,19525,18818,18274,17392,16469,15695,14990,14238,13497,12790,12077,11160,9790,8199,7082,6625,6246,5706,5281,5147,5189,5060,4429,3424,2486,1992,1865,1815,1759,1758,1775,1823,1891,2028,2217,2383,2448,2429,2445,2514,2580,2613,2582,2537,2448,2351,2239,2154,2072,1994,1914,1831,1765,1689,1632,1568,1519,1472,1414,1366,1321,1285,1247,1222,1191,1163,1139,1122,1107,1088,1066,1053,1031,1022,1007,996,980,981,994,991,1015,1045,1111,1235,1410,1667,1974,2298,2576,2755,2846,2921,2992
3,16/06/2022,09:47:31.241,A,56.2000465,-3.41571164,126.8,48.3,-142.0,344.8,0,1,-0.1,11.5,23.1875,Ed,59,927,913,920,927,934,942,938,950,951,952,958,975,976,1011,1087,1266,1584,2036,2625,3205,3618,3891,4197,4418,4527,4868,5419,5976,7102,9065,10980,12341,13644,15014,16153,16997,17464,17416,17339,17893,18794,19512,20102,20692,21004,21041,20899,20861,20738,20610,20668,21023,21591,22060,22119,22103,22473,23133,23596,23942,24413,25171,25894,26282,26669,27471,28591,29668,30642,31394,31769,31871,31888,31797,31447,30821,29897,28890,27912,26872,25839,24927,24228,23666,23049,22221,21506,21194,21120,21215,21297,21300,21208,21122,21137,21179,21148,21007,20903,20941,20941,20602,19848,18957,18254,17829,17793,18071,18373,18476,18490,18397,18197,17722,16816,15902,15504,15636,15888,16192,16548,16831,16641,15611,14253,13346,13080,13311,14175,15347,16408,17253,17828,18064,17869,16673,14002,11437,11163,12985,14815,15697,15918,15726,15225,14535,13856,13268,12716,12207,11671,10931,9753,8446,7549,7170,7068,7009,7002,7115,7241,7283,7219,7004,6681,6405,6234,6052,5814,5573,5360,5185,4970,4776,4590,4376,4070,3625,3135,2835,2705,2596,2437,2307,2286,2310,2253,2015,1643,1350,1215,1180,1176,1151,1157,1155,1181,1203,1263,1337,1418,1437,1428,1435,1463,1492,1519,1507,1483,1455,1416,1380,1347,1322,1293,1261,1234,1210,1178,1165,1143,1118,1105,1093,1068,1058,1050,1035,1022,1006,1001,993,987,975,983,965,962,962,966,962,955,937,939,944,947,954,970,987,1005,1050,1087,1135,1175,1202,1200,1224
