In-situ Marine Optics
DALEC (SN:0005)
FIRMWARE: DALEC_V5
---------CONFIGURATION---------
SD_CARD_LOGGING = ON
LOGFILE = LOG_0062.TXT
AVAILABLE_MEMORY = 0 (MB)
SIMULT = ON
AUTO_START = ON
STARTTIME = 00:00
ENDTIME = 24:00
AUTO_RELAZ = OFF
PARK_AFTER_STOP = OFF
TARGET_RELAZ = 135
DECLINATION = 0.00
USER_HEADING = OFF
USER_HEADING GPS_SPEED = 0.00
H = 0.00
BOOM OFFSET = 0.00
BOOM_REL_LIMIT_LEFT = -120
BOOM_REL_LIMIT_RIGHT = 120
POSITION_ACCURACY = 10
AUTO_INTTIME = ON
INTTIME_ED = 256
INTTIME_LU = 256
INTTIME_LSKY = 256
SPECTRUM_LB = 20000
SPECTRUM_UB = 40000
FIXED_LOCATION_MODE = OFF
FIXED_LOCATION_LON = 115.86
FIXED_LOCATION_LAT = -31.95
-------------------------------
Sample #,UTC Date,UTC Time,GPS_Fix,Lat,Lon,Solar Azi,Solar Elev,Relaz,Heading,Pitch,Roll,Gearpos,Voltage,Temp,Channel,Inttime,Spec[0],...,Spec[255]
0,21/06/2022,10:55:09.619,V,NaN,NaN,NaN,NaN,NaN,0.0,0,0,-0.1,0.0,0.0000,Ed,256,1400,1409,1445,1484,1519,1565,1613,1650,1693,1745,1800,1861,1949,2181,2845,4410,7055,10889,15822,20729,24189,26396,29067,30963,31931,34733,39432,44189,53666,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,61705,55374,52473,51288,50543,50096,50263,50638,50436,49418,47575,45087,42961,41537,40179,38280,36411,34934,33585,32133,30705,29333,27890,25861,22850,19537,17462,16576,15692,14407,13498,13257,13322,12858,11030,8225,5643,4432,4229,4166,4022,3982,4051,4180,4411,4796,5358,5884,6055,5941,5968,6148,6295,6316,6213,6015,5752,5440,5137,4867,4618,4388,4162,3931,3726,3525,3359,3190,3036,2895,2755,2638,2524,2438,2331,2246,2161,2090,2035,1997,1954,1909,1870,1837,1803,1771,1748,1725,1715,1711,1721,1742,1798,1896,2041,2269,2572,2959,3370,3723,3937,4017,4099
0,21/06/2022,10:55:09.619,V,NaN,NaN,NaN,NaN,NaN,0.0,0,0,-0.1,0.0,0.0000,Lu,256,1282,1282,1279,1287,1293,1313,1320,1323,1340,1351,1354,1365,1398,1487,1744,2290,3181,4415,5871,7134,7873,8348,8804,9019,9139,9764,10630,11791,14185,17631,20656,22917,25092,27188,28853,29935,30298,29982,30022,30921,32060,32922,33622,34057,34030,33603,33068,32569,31993,31528,31454,31774,32178,32253,31887,31715,32066,32495,32777,33057,33596,34317,34767,34983,35484,36487,37674,38782,39683,40190,40312,40160,39903,39429,38604,37494,36193,34889,33647,32419,31268,30196,29173,28095,26845,25664,24966,24525,24190,23979,23798,23547,23304,23126,23028,22919,22746,22467,22197,21948,21642,21187,20610,19974,19307,18724,18445,18363,18199,17972,17766,17579,17325,16836,16125,15551,15360,15312,15257,15167,15134,14932,14304,13201,12174,11616,11470,11646,12167,12712,13113,13335,13385,13238,12807,11631,9780,8565,8931,10049,10790,11013,10921,10648,10246,9760,9294,8920,8566,8229,7877,7388,6683,5975,5521,5343,5235,5153,5084,5076,5052,4981,4835,4638,4419,4249,4123,4015,3864,3732,3632,3542,3439,3342,3254,3159,3003,2765,2527,2397,2323,2245,2151,2091,2069,2071,2006,1881,1690,1523,1440,1432,1422,1404,1398,1405,1425,1450,1461,1506,1527,1536,1533,1533,1538,1544,1545,1537,1524,1505,1481,1469,1453,1435,1427,1400,1385,1382,1372,1363,1338,1326,1330,1321,1316,1301,1294,1290,1275,1268,1270,1274,1260,1258,1253,1249,1243,1238,1253,1249,1251,1257,1276,1279,1300,1329,1367,1413,1446,1485,1511,1527,1548,1550,1560,1578
0,21/06/2022,10:55:09.619,V,NaN,NaN,NaN,NaN,NaN,0.0,0,0,-0.1,0.0,0.0000,Lsky,256,3371,3573,3799,4055,4340,4640,4974,5311,5677,6072,6493,6979,7876,10903,20355,39984,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,62804,55810,47564,41706,39065,36867,33752,31287,30348,30345,29417,25592,19338,13226,10008,9158,8877,8506,8408,8482,8730,9182,9931,11079,12059,12350,12145,12122,12370,12611,12603,12361,11923,11352,10708,10052,9478,8948,8435,7911,7417,6930,6501,6093,5711,5352,5024,4722,4439,4190,3960,3734,3520,3347,3180,3039,2904,2801,2681,2583,2480,2398,2307,2226,2160,2116,2086,2097,2138,2268,2506,2943,3702,4882,6532,8576,10698,12470,13676,14338,14688,15146
1,21/06/2022,10:55:11.322,V,NaN,NaN,NaN,NaN,NaN,238.2,1,0,-0.1,11.5,20.9375,Ed,128,1145,1140,1155,1175,1198,1221,1246,1257,1295,1311,1342,1368,1409,1532,1872,2667,4017,5975,8478,10974,12733,13858,15226,16201,16679,18108,20497,22925,27766,36252,44496,50412,56050,61976,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,64720,59652,56120,54963,55533,58163,61658,64623,65535,65535,65535,65535,62770,53641,45025,44198,50071,55693,58255,58683,57942,56302,54035,51687,49624,47655,45695,43686,40970,36901,32300,28995,27467,26850,26471,26228,26318,26522,26419,25873,24912,23611,22508,21781,21068,20069,19112,18350,17650,16893,16165,15450,14701,13654,12106,10408,9350,8886,8439,7784,7317,7199,7217,6987,6054,4619,3290,2683,2580,2550,2457,2451,2477,2545,2681,2867,3171,3425,3503,3472,3467,3558,3634,3647,3592,3490,3355,3203,3033,2899,2772,2655,2534,2425,2316,2214,2128,2048,1969,1890,1832,1773,1708,1657,1610,1562,1519,1497,1458,1445,1423,1391,1373,1357,1339,1332,1318,1298,1294,1287,1299,1321,1340,1386,1467,1578,1737,1923,2138,2326,2435,2470,2511
1,21/06/2022,10:55:11.322,V,NaN,NaN,NaN,NaN,NaN,238.2,1,0,-0.1,11.5,20.9375,Lu,190,1253,1244,1252,1258,1271,1271,1264,1281,1289,1292,1302,1310,1336,1398,1584,1988,2649,3543,4608,5533,6076,6415,6760,6934,7016,7477,8102,8962,10732,13259,15475,17150,18747,20288,21509,22324,22582,22361,22382,23047,23897,24537,25052,25358,25345,25035,24635,24264,23853,23500,23460,23688,23992,24043,23777,23654,23902,24228,24430,24628,25036,25563,25888,26050,26427,27165,28040,28862,29541,29919,30007,29897,29689,29364,28755,27936,26970,26013,25078,24186,23318,22547,21785,20980,20059,19195,18685,18353,18105,17954,17808,17630,17463,17320,17257,17185,17059,16858,16656,16467,16243,15908,15466,15007,14507,14077,13883,13817,13695,13536,13381,13246,13062,12695,12169,11733,11609,11582,11541,11488,11454,11315,10869,10050,9302,8896,8787,8925,9326,9752,10050,10222,10270,10162,9836,8970,7584,6681,6953,7789,8347,8512,8450,8253,7938,7571,7236,6945,6685,6423,6167,5805,5277,4748,4415,4276,4199,4141,4078,4077,4067,4011,3906,3764,3597,3459,3372,3285,3174,3082,3014,2948,2870,2793,2723,2637,2514,2353,2182,2081,2018,1972,1900,1843,1843,1837,1806,1695,1556,1439,1369,1355,1352,1353,1340,1348,1357,1364,1383,1410,1431,1442,1441,1432,1441,1446,1443,1441,1433,1412,1407,1387,1373,1361,1353,1340,1335,1321,1308,1302,1296,1275,1281,1274,1260,1259,1261,1248,1246,1250,1235,1243,1236,1228,1238,1227,1222,1227,1229,1223,1231,1236,1239,1242,1268,1281,1321,1343,1363,1392,1415,1433,1443,1453,1460,1468
1,21/06/2022,10:55:11.322,V,NaN,NaN,NaN,NaN,NaN,238.2,1,0,-0.1,11.5,20.9375,Lsky,128,2069,2161,2280,2425,2559,2713,2874,3056,3242,3446,3660,3903,4375,5910,10726,20745,37456,60635,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,64155,60856,57586,55348,53590,50918,48103,45769,43721,41524,39406,37371,35379,32872,29189,24859,21815,20440,19299,17687,16406,15923,15935,15449,13470,10232,7100,5455,5021,4873,4695,4644,4678,4791,5030,5420,6012,6504,6646,6553,6541,6666,6787,6791,6660,6439,6149,5817,5484,5182,4907,4646,4380,4133,3884,3659,3443,3257,3077,2903,2752,2608,2475,2369,2236,2137,2048,1970,1888,1825,1775,1711,1658,1610,1563,1523,1478,1436,1410,1406,1396,1423,1488,1613,1852,2235,2827,3691,4731,5821,6733,7349,7690,7878,8108
2,21/06/2022,10:55:14.282,V,NaN,NaN,NaN,NaN,NaN,238.3,2,4,-0.1,11.5,20.9375,Ed,64,1025,1005,1017,1028,1038,1046,1068,1073,1082,1100,1115,1125,1146,1220,1395,1813,2510,3534,4841,6136,7049,7635,8343,8859,9098,9856,11090,12360,14872,19284,23601,26666,29621,32707,35299,37186,38286,38154,38012,39252,41305,42977,44331,45658,46368,46430,46122,46027,45778,45491,45681,46556,47883,48917,48974,48909,49697,51186,52278,53050,54161,55901,57424,58175,58928,60706,63171,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,63704,61684,59613,57574,55714,54145,52842,51450,49711,48318,47632,47387,47386,47418,47315,47085,46902,46924,47085,47173,47023,46885,46880,46685,45847,44192,42331,40803,39780,39561,40072,40656,40858,40852,40651,40228,39249,37488,35741,34980,35155,35533,36009,36582,36988,36495,34383,31679,29812,29208,29496,30909,32767,34352,35490,36158,36277,35691,33403,28517,23936,23512,26628,29621,30982,31219,30809,29937,28740,27495,26393,25355,24306,23255,21827,19663,17249,15516,14707,14400,14189,14060,14109,14210,14161,13887,13384,12694,12124,11744,11362,10847,10343,9942,9570,9187,8799,8444,8043,7507,6695,5813,5259,5022,4788,4452,4209,4139,4156,4043,3547,2811,2123,1803,1746,1743,1695,1684,1706,1733,1787,1898,2045,2191,2234,2212,2214,2248,2302,2302,2281,2227,2151,2072,1987,1921,1859,1796,1731,1669,1624,1561,1527,1471,1438,1403,1362,1327,1304,1279,1252,1223,1208,1193,1172,1161,1147,1142,1135,1113,1116,1111,1101,1088,1092,1089,1091,1090,1106,1139,1173,1233,1313,1416,1528,1614,1672,1694,1711
2,21/06/2022,10:55:14.282,V,NaN,NaN,NaN,NaN,NaN,238.3,2,4,-0.1,11.5,20.9375,Lu,190,1259,1244,1253,1258,1261,1264,1265,1270,1283,1294,1296,1305,1325,1379,1579,1961,2601,3476,4515,5409,5930,6269,6589,6749,6836,7278,7905,8712,10432,12887,15022,16633,18193,19670,20852,21642,21900,21665,21707,22354,23162,23792,24284,24592,24581,24259,23875,23515,23115,22789,22744,22948,23259,23309,23064,22936,23172,23487,23690,23875,24282,24798,25128,25264,25623,26340,27187,27999,28639,29016,29102,29000,28822,28478,27909,27107,26163,25247,24359,23492,22662,21897,21180,20420,19509,18679,18197,17865,17629,17458,17322,17142,16964,16847,16774,16708,16589,16385,16197,16016,15798,15473,15049,14600,14126,13707,13503,13451,13331,13163,12999,12881,12704,12351,11841,11439,11295,11275,11239,11170,11132,10989,10549,9773,9042,8649,8536,8644,9013,9396,9651,9805,9832,9720,9407,8583,7276,6403,6677,7464,7991,8138,8075,7885,7601,7258,6939,6656,6419,6180,5918,5587,5082,4587,4269,4139,4061,4001,3951,3934,3915,3867,3766,3633,3476,3347,3261,3177,3069,2981,2913,2852,2776,2696,2637,2566,2453,2299,2134,2025,1986,1935,1851,1816,1803,1791,1755,1672,1537,1414,1365,1353,1350,1341,1327,1339,1345,1348,1387,1398,1423,1433,1421,1427,1432,1441,1437,1431,1424,1416,1393,1377,1357,1350,1346,1333,1319,1321,1308,1297,1291,1279,1277,1277,1271,1257,1251,1252,1249,1240,1245,1238,1241,1229,1226,1219,1218,1222,1230,1219,1225,1228,1229,1246,1263,1278,1304,1339,1368,1391,1401,1419,1433,1439,1440,1454
2,21/06/2022,10:55:14.282,V,NaN,NaN,NaN,NaN,NaN,238.3,2,4,-0.1,11.5,20.9375,Lsky,64,1469,1506,1581,1652,1735,1816,1907,1998,2107,2207,2334,2466,2713,3516,6099,11448,20437,32942,47752,60383,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65524,60014,52525,46047,42546,41208,40294,39619,39368,39586,39538,38880,37538,35569,33645,32334,31305,29728,28074,26716,25513,24237,23021,21836,20689,19248,17144,14668,12924,12137,11476,10555,9824,9546,9533,9250,8121,6254,4439,3472,3245,3156,3046,3017,3044,3105,3239,3459,3793,4084,4157,4092,4086,4149,4214,4204,4124,3998,3815,3628,3438,3281,3121,2956,2802,2661,2528,2397,2267,2155,2053,1958,1865,1785,1713,1646,1577,1514,1468,1424,1379,1352,1311,1281,1251,1217,1202,1171,1150,1127,1113,1107,1104,1125,1154,1219,1350,1583,1933,2414,3016,3641,4181,4541,4731,4837,4983
3,21/06/2022,10:55:16.163,V,NaN,NaN,NaN,NaN,NaN,240.0,1,4,-0.1,11.5,20.9375,Ed,32,952,945,945,944,955,953,972,973,981,985,995,1001,1020,1045,1131,1367,1723,2272,2956,3651,4128,4438,4805,5073,5202,5597,6251,6922,8254,10577,12850,14474,16028,17667,19042,20031,20605,20552,20472,21133,22222,23110,23838,24546,24914,24953,24803,24753,24624,24476,24577,25064,25769,26338,26354,26335,26761,27558,28149,28569,29166,30104,30919,31328,31754,32692,34033,35342,36463,37354,37782,37926,37946,37839,37414,36620,35538,34384,33307,32190,31081,30084,29257,28541,27793,26873,26122,25765,25641,25641,25664,25605,25476,25383,25418,25512,25552,25472,25390,25395,25308,24846,23964,22951,22140,21583,21456,21732,22052,22159,22154,22043,21825,21304,20353,19413,19004,19080,19299,19563,19874,20095,19830,18703,17254,16255,15929,16092,16851,17852,18701,19315,19681,19731,19447,18209,15575,13130,12897,14570,16185,16912,17042,16820,16370,15713,15038,14455,13888,13334,12772,12003,10858,9558,8637,8208,8038,7932,7861,7893,7937,7922,7780,7509,7139,6835,6636,6427,6162,5889,5680,5484,5280,5074,4877,4676,4383,3941,3482,3196,3060,2935,2761,2626,2594,2606,2538,2279,1888,1535,1365,1332,1315,1296,1303,1303,1325,1360,1412,1489,1566,1589,1568,1577,1601,1625,1623,1613,1581,1544,1501,1457,1425,1374,1356,1323,1284,1258,1220,1205,1186,1162,1143,1128,1113,1094,1083,1067,1053,1047,1027,1027,1014,1017,1015,997,999,996,989,985,977,976,979,978,981,989,1010,1024,1058,1093,1161,1211,1265,1291,1302,1310
