Date,Chl-a
05/07/2022,2.663
07/07/2022,2.592
20/07/2022,6.163
27/07/2022,5.465
04/08/2022,8.361
19/08/2022,37.789
25/08/2022,89.650
01/09/2022,78.244
09/09/2022,16.429
12/09/2022,21.707
03/04/2023,8.825
13/04/2023,4.048
14/04/2023,5.158
25/04/2023,3.189
05/05/2023,5.590
12/05/2023,12.293
17/05/2023,3.483
24/05/2023,3.776
29/05/2023,12.530
07/06/2023,38.008
09/06/2023,39.744
04/07/2023,44.595
20/07/2023,68.487
03/08/2023,116.800
08/08/2023,71.458
25/08/2023,51.580
05/09/2023,28.054
12/09/2023,18.055
22/09/2023,4.953
29/09/2023,3.424
13/10/2023,4.118
