SR_WL,S2B_SR_AV_B1,S2B_SR_AV_B2,S2B_SR_AV_B3,S2B_SR_AV_B4,S2B_SR_AV_B5,S2B_SR_AV_B6,S2B_SR_AV_B7,S2B_SR_AV_B8,S2B_SR_AV_B8A,S2B_SR_AV_B9,S2B_SR_AV_B10,S2B_SR_AV_B11,S2B_SR_AV_B12
400,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0.0062411,0,0,0,0,0,0,0,0,0,0,0,0
412,0.01024045,0,0,0,0,0,0,0,0,0,0,0,0
413,0.00402983,0,0,0,0,0,0,0,0,0,0,0,0
414,0.00642179,0,0,0,0,0,0,0,0,0,0,0,0
415,0.00552753,0,0,0,0,0,0,0,0,0,0,0,0
416,0.0065525,0,0,0,0,0,0,0,0,0,0,0,0
417,0.00409887,0,0,0,0,0,0,0,0,0,0,0,0
418,0.006297,0,0,0,0,0,0,0,0,0,0,0,0
419,0.00436742,0,0,0,0,0,0,0,0,0,0,0,0
420,0.00233356,0,0,0,0,0,0,0,0,0,0,0,0
421,0.00058162,0,0,0,0,0,0,0,0,0,0,0,0
422,0.00202276,0,0,0,0,0,0,0,0,0,0,0,0
423,0.00294328,0,0,0,0,0,0,0,0,0,0,0,0
424,0.00485362,0,0,0,0,0,0,0,0,0,0,0,0
425,0.00317041,0,0,0,0,0,0,0,0,0,0,0,0
426,0.00237657,0,0,0,0,0,0,0,0,0,0,0,0
427,0.00234612,0,0,0,0,0,0,0,0,0,0,0,0
