filename,atmospheric interference at measurement points,flag,matches with planet udm
/20220924_102733_83_2429_3B_AnalyticMS_8b_clip.tif,good,good,
/20220914_102316_96_2448_3B_AnalyticMS_8b_clip.tif,good,good,
/20220419_104711_48_2276_3B_AnalyticMS_8b_clip.tif,good,good,no
/20220910_110421_57_249c_3B_AnalyticMS_8b_clip.tif,good,good,
/20220914_102314_67_2448_3B_AnalyticMS_8b_clip.tif,good,good,
/20220811_102821_27_2427_3B_AnalyticMS_8b_clip.tif,good,good,
/20220618_105818_44_249a_3B_AnalyticMS_8b_clip.tif,good,good,
/20220820_102647_50_2436_3B_AnalyticMS_8b_clip.tif,good,good,
/20220419_104713_76_2276_3B_AnalyticMS_8b_clip.tif,good,good,
/20220524_112108_37_2402_3B_AnalyticMS_8b_clip.tif,good,good,
/20220620_102924_31_2423_3B_AnalyticMS_8b_clip.tif,good,good,
/20220915_110304_49_24a5_3B_AnalyticMS_8b_clip.tif,shadow on both coords,shadow,yes
/20220813_111341_99_227a_3B_AnalyticMS_8b_clip.tif,good,good,
/20220910_110423_85_249c_3B_AnalyticMS_8b_clip.tif,good,good,
/20220424_111656_16_2407_3B_AnalyticMS_8b_clip.tif,shadow on both coords,shadow,yes
/20220817_110356_00_2482_3B_AnalyticMS_8b_clip.tif,good,good,
/20220920_105811_81_2495_3B_AnalyticMS_8b_clip.tif,shadow on both coords,shadow,yes
/20220913_102534_05_241d_3B_AnalyticMS_8b_clip.tif,good,good,
/20220811_102823_56_2427_3B_AnalyticMS_8b_clip.tif,good,good,
/20220704_111657_22_2402_3B_AnalyticMS_8b_clip.tif,good,good,
/20220423_102657_03_2453_3B_AnalyticMS_8b_clip.tif,shadow on both coords,shadow,yes
/20220524_112106_08_2402_3B_AnalyticMS_8b_clip.tif,good,good,
/20220920_105809_51_2495_3B_AnalyticMS_8b_clip.tif,shadow on both coords,shadow,yes
/20220810_102706_17_2432_3B_AnalyticMS_8b_clip.tif,good,good,
